ts,src_ip,dst_ip,pck_len,user,num_attack,ip_diff,range_ip,ip_medium,ip_std,pck_medium,pck_std
1615344373.732456,906,5151,60,54,2,1,0,5151.0,0.0,60.0,0.0
1615344373.762521,906,5151,60,54,2,1,0,5151.0,0.0,60.0,0.0
1615344382.285674,222,5151,98,55,1,1,0,5151.0,0.0,98.0,0.0
1615344408.1823368,4938,5298,60,56,1,1,0,5298.0,0.0,60.0,0.0
1615344435.7491539,4517,5228,74,57,1,1,0,5228.0,0.0,74.0,0.0
1615344532.5255141,845,5172,62,58,2,2,1,5171.5,0.5,62.0,0.0
1615344539.7108939,4887,5201,60,59,1,1,0,5201.0,0.0,60.0,0.0
1615344609.011913,845,5171,62,58,2,2,1,5171.5,0.5,62.0,0.0
1615344609.467368,217,5151,60,60,1,1,0,5151.0,0.0,60.0,0.0
1615344629.9129221,1768,5199,60,61,2,2,125,5261.5,62.5,60.0,0.0
1615344640.573573,381,5151,98,62,1,1,0,5151.0,0.0,98.0,0.0
1615344650.8203561,4847,5280,60,63,1,1,0,5280.0,0.0,60.0,0.0
1615344654.552609,890,5151,98,64,1,1,0,5151.0,0.0,98.0,0.0
1615344660.7922714,878,5151,98,65,1,1,0,5151.0,0.0,98.0,0.0
1615344660.968796,227,5151,98,66,1,1,0,5151.0,0.0,98.0,0.0
1615344662.587831,164,5151,98,67,1,1,0,5151.0,0.0,98.0,0.0
1615344673.394784,906,5151,60,68,2,1,0,5151.0,0.0,60.0,0.0
1615344673.428241,906,5151,60,68,2,1,0,5151.0,0.0,60.0,0.0
1615344675.625647,877,5151,98,69,1,1,0,5151.0,0.0,98.0,0.0
1615344702.754741,1768,5324,60,61,2,2,125,5261.5,62.5,60.0,0.0
1615344758.071155,845,5111,62,70,4,4,80,5123.25,33.025558284456,62.0,0.0
1615344787.1408026,845,5102,62,70,4,4,80,5123.25,33.025558284456,62.0,0.0
1615344818.550634,845,5180,62,70,4,4,80,5123.25,33.025558284456,62.0,0.0
1615344821.471731,1256,5262,60,71,3,3,153,5167.666666666667,67.36138029728573,60.0,0.0
1615344848.782168,1256,5109,60,71,3,3,153,5167.666666666667,67.36138029728573,60.0,0.0
1615344873.3160212,4974,5321,60,72,1,1,0,5321.0,0.0,60.0,0.0
1615344888.684936,1256,5132,60,71,3,3,153,5167.666666666667,67.36138029728573,60.0,0.0
1615344912.3440714,845,5100,62,70,4,4,80,5123.25,33.025558284456,62.0,0.0
1615344918.856134,209,5151,60,73,1,1,0,5151.0,0.0,60.0,0.0
1615344940.307338,154,5151,98,74,1,1,0,5151.0,0.0,98.0,0.0
1615344940.474217,159,5151,98,75,1,1,0,5151.0,0.0,98.0,0.0
1615344943.118161,163,5151,98,76,1,1,0,5151.0,0.0,98.0,0.0
1615344960.3807821,903,5151,98,77,1,1,0,5151.0,0.0,98.0,0.0
1615344961.0655868,895,5151,98,78,1,1,0,5151.0,0.0,98.0,0.0
1615344968.444788,4139,5182,60,79,1,1,0,5182.0,0.0,60.0,0.0
1615344973.804939,388,5151,60,80,2,1,0,5151.0,0.0,60.0,0.0
1615344973.8323472,388,5151,60,80,2,1,0,5151.0,0.0,60.0,0.0
1615344975.6356509,877,5151,98,81,1,1,0,5151.0,0.0,98.0,0.0
1615345030.12908,845,5121,62,82,2,2,89,5165.5,44.5,62.0,0.0
1615345190.417927,845,5210,62,82,2,2,89,5165.5,44.5,62.0,0.0
1615345205.705111,1256,5280,60,83,1,1,0,5280.0,0.0,60.0,0.0
1615345228.958905,211,5151,60,84,1,1,0,5151.0,0.0,60.0,0.0
1615345239.535943,164,5151,98,85,1,1,0,5151.0,0.0,98.0,0.0
1615345239.9020839,1892,5151,98,86,1,1,0,5151.0,0.0,98.0,0.0
1615345242.8900928,160,5151,98,87,1,1,0,5151.0,0.0,98.0,0.0
1615345244.129775,4992,5303,60,88,1,1,0,5303.0,0.0,60.0,0.0
1615345258.5346491,260,5151,98,89,1,1,0,5151.0,0.0,98.0,0.0
1615345261.569027,162,5151,98,90,1,1,0,5151.0,0.0,98.0,0.0
1615345273.472632,222,5151,98,91,1,1,0,5151.0,0.0,98.0,0.0
1615345274.157772,906,5151,60,92,1,1,0,5151.0,0.0,60.0,0.0
1615345274.545295,388,5151,60,93,1,1,0,5151.0,0.0,60.0,0.0
1615345309.4683769,845,5153,62,94,2,2,114,5210.0,57.0,62.0,0.0
1615345316.293968,845,5267,62,94,2,2,114,5210.0,57.0,62.0,0.0
1615345413.09113,4207,5208,60,95,1,1,0,5208.0,0.0,60.0,0.0
1615345472.309793,229,5178,60,96,2,1,0,5178.0,0.0,60.0,0.0
1615345472.4461482,229,5178,60,96,2,1,0,5178.0,0.0,60.0,0.0
1615345507.5635948,1256,5185,60,97,2,2,46,5208.0,23.0,60.0,0.0
1615345518.8904214,210,5151,60,98,1,1,0,5151.0,0.0,60.0,0.0
