ts,src_ip,src_port,dst_ip,dst_port,proto,pck_len,tcp_flags,mirai
1615343346.400901,458,12345,5112,443,6,60,2,0
1615343346.402853,458,12345,5199,443,6,60,2,0
1615343346.403220,458,12345,5137,443,6,60,2,0
1615343346.403414,458,12345,5139,443,6,60,2,0
1615343346.403589,458,12345,5149,443,6,60,2,0
1615343346.403656,458,12345,5147,443,6,60,2,0
1615343346.403998,458,12345,5150,443,6,60,2,0
1615343346.404546,458,12345,5102,443,6,60,2,0
1615343346.405114,458,12345,5115,443,6,60,2,0
1615343346.405235,458,12345,5164,443,6,60,2,0
1615343346.405488,458,12345,5156,443,6,60,2,0
1615343346.405542,458,12345,5155,443,6,60,2,0
1615343346.405756,458,12345,5161,443,6,60,2,0
1615343346.406726,458,12345,5171,443,6,60,2,0
1615343346.406822,458,12345,5099,443,6,60,2,0
1615343346.406865,458,12345,5173,443,6,60,2,0
1615343346.406892,458,12345,5170,443,6,60,2,0
1615343346.407015,458,12345,5109,443,6,60,2,0
1615343346.407102,458,12345,5132,443,6,60,2,0
1615343346.407283,458,12345,5133,443,6,60,2,0
1615343346.407311,458,12345,5107,443,6,60,2,0
1615343346.407355,458,12345,5189,443,6,60,2,0
1615343346.407379,458,12345,5105,443,6,60,2,0
1615343346.407502,458,12345,5114,443,6,60,2,0
1615343346.407626,458,12345,5143,443,6,60,2,0
1615343346.407830,458,12345,5118,443,6,60,2,0
1615343346.407886,458,12345,5113,443,6,60,2,0
1615343346.408476,458,12345,5142,443,6,60,2,0
1615343346.408477,458,12345,5110,443,6,60,2,0
1615343346.408610,458,12345,5121,443,6,60,2,0
1615343346.408686,458,12345,5125,443,6,60,2,0
1615343346.408941,458,12345,5146,443,6,60,2,0
1615343346.409079,458,12345,5148,443,6,60,2,0
1615343346.409138,458,12345,5196,443,6,60,2,0
1615343346.409188,458,12345,5194,443,6,60,2,0
1615343346.409300,458,12345,5152,443,6,60,2,0
1615343346.409338,458,12345,5123,443,6,60,2,0
1615343346.409703,458,12345,5129,443,6,60,2,0
1615343346.409720,458,12345,5204,443,6,60,2,0
1615343346.409773,458,12345,5160,443,6,60,2,0
1615343346.409811,458,12345,5159,443,6,60,2,0
1615343346.409811,458,12345,5205,443,6,60,2,0
1615343346.409975,458,12345,5154,443,6,60,2,0
1615343346.409980,458,12345,5158,443,6,60,2,0
1615343346.410052,458,12345,5131,443,6,60,2,0
1615343346.410273,458,12345,5167,443,6,60,2,0
1615343346.410291,458,12345,5106,443,6,60,2,0
1615343346.410420,458,12345,5207,443,6,60,2,0
1615343346.410536,458,12345,5168,443,6,60,2,0
1615343346.410734,458,12345,5130,443,6,60,2,0
1615343346.411154,458,12345,5221,443,6,60,2,0
1615343346.411304,458,12345,5145,443,6,60,2,0
1615343346.411304,458,12345,5174,443,6,60,2,0
1615343346.411729,458,12345,5157,443,6,60,2,0
1615343346.411839,458,12345,5182,443,6,60,2,0
1615343346.411907,458,12345,5235,443,6,60,2,0
1615343346.412243,458,12345,5185,443,6,60,2,0
1615343346.412324,458,12345,5191,443,6,60,2,0
1615343346.412440,458,12345,5187,443,6,60,2,0
1615343346.412980,458,12345,5166,443,6,60,2,0
1615343346.413094,458,12345,5243,443,6,60,2,0
1615343346.413172,458,12345,5239,443,6,60,2,0
1615343346.413275,458,12345,5165,443,6,60,2,0
1615343346.413481,458,12345,5203,443,6,60,2,0
1615343346.413569,458,12345,5172,443,6,60,2,0
1615343346.413782,458,12345,5180,443,6,60,2,0
1615343346.413883,458,12345,5255,443,6,60,2,0
1615343346.413901,458,12345,5201,443,6,60,2,0
1615343346.414352,458,12345,5183,443,6,60,2,0
1615343346.414500,458,12345,5120,443,6,60,2,0
1615343346.415090,458,12345,5126,443,6,60,2,0
1615343346.415327,458,12345,5262,443,6,60,2,0
1615343346.415349,458,12345,5219,443,6,60,2,0
1615343346.415410,458,12345,5141,443,6,60,2,0
1615343346.415611,458,12345,5222,443,6,60,2,0
1615343346.415888,458,12345,5272,443,6,60,2,0
1615343346.416079,458,12345,5151,443,6,60,2,0
1615343346.416136,458,12345,5225,443,6,60,2,0
1615343346.416387,458,12345,5277,443,6,60,2,0
1615343346.416397,458,12345,5101,443,6,60,2,0
1615343346.416663,458,12345,5197,443,6,60,2,0
1615343346.416819,458,12345,5202,443,6,60,2,0
1615343346.416989,458,12345,5287,443,6,60,2,0
1615343346.417370,458,12345,5200,443,6,60,2,0
1615343346.417514,458,12345,5240,443,6,60,2,0
1615343346.417575,458,12345,5286,443,6,60,2,0
1615343346.417619,458,12345,5188,443,6,60,2,0
1615343346.417752,458,12345,5347,443,6,60,2,0
1615343346.417756,458,12345,5236,443,6,60,2,0
1615343346.417969,458,12345,5291,443,6,60,2,0
1615343346.418383,458,12345,5223,443,6,60,2,0
1615343346.418438,458,12345,5294,443,6,60,2,0
1615343346.418449,458,12345,5215,443,6,60,2,0
1615343346.418692,458,12345,5254,443,6,60,2,0
1615343346.418770,458,12345,5228,443,6,60,2,0
1615343346.418777,458,12345,5308,443,6,60,2,0
1615343346.418889,458,12345,5218,443,6,60,2,0
1615343346.418916,458,12345,5220,443,6,60,2,0
1615343346.418923,458,12345,5227,443,6,60,2,0
1615343346.418940,458,12345,5309,443,6,60,2,0
1615343346.419146,458,12345,5307,443,6,60,2,0
1615343346.419529,458,12345,5181,443,6,60,2,0
1615343346.419778,458,12345,5186,443,6,60,2,0
1615343346.419920,458,12345,5263,443,6,60,2,0
1615343346.420009,458,12345,5316,443,6,60,2,0
1615343346.420041,458,12345,5175,443,6,60,2,0
1615343346.420041,458,12345,5311,443,6,60,2,0
1615343346.420093,458,12345,5249,443,6,60,2,0
1615343346.420160,458,12345,5245,443,6,60,2,0
1615343346.420196,458,12345,5241,443,6,60,2,0
1615343346.420560,458,12345,5273,443,6,60,2,0
1615343346.420609,458,12345,5237,443,6,60,2,0
1615343346.420695,458,12345,5247,443,6,60,2,0
1615343346.421012,458,12345,5276,443,6,60,2,0
1615343346.421105,458,12345,5283,443,6,60,2,0
1615343346.421305,458,12345,5244,443,6,60,2,0
1615343346.421360,458,12345,5329,443,6,60,2,0
1615343346.421390,458,12345,5326,443,6,60,2,0
1615343346.421404,458,12345,5252,443,6,60,2,0
1615343346.421437,458,12345,5285,443,6,60,2,0
1615343346.421568,458,12345,5259,443,6,60,2,0
1615343346.421630,458,12345,5261,443,6,60,2,0
1615343346.421661,458,12345,5290,443,6,60,2,0
1615343346.421760,458,12345,5338,443,6,60,2,0
1615343346.421779,458,12345,5334,443,6,60,2,0
1615343346.421930,458,12345,5336,443,6,60,2,0
1615343346.422180,458,12345,5337,443,6,60,2,0
1615343346.422197,458,12345,5267,443,6,60,2,0
1615343346.422236,458,12345,5260,443,6,60,2,0
1615343346.422652,458,12345,5264,443,6,60,2,0
1615343346.423224,458,12345,5274,443,6,60,2,0
1615343346.423349,458,12345,5298,443,6,60,2,0
1615343346.423549,458,12345,5269,443,6,60,2,0
1615343346.423766,458,12345,5108,443,6,60,2,0
1615343346.423956,458,12345,5119,443,6,60,2,0
1615343346.424004,458,12345,5238,443,6,60,2,0
1615343346.424340,458,12345,5289,443,6,60,2,0
1615343346.424435,458,12345,5315,443,6,60,2,0
1615343346.424513,458,12345,5230,443,6,60,2,0
1615343346.424521,458,12345,5251,443,6,60,2,0
1615343346.424563,458,12345,5284,443,6,60,2,0
1615343346.424650,458,12345,5293,443,6,60,2,0
1615343346.425431,458,12345,5317,443,6,60,2,0
1615343346.425510,458,12345,5322,443,6,60,2,0
1615343346.425642,458,12345,5280,443,6,60,2,0
1615343346.425722,458,12345,5297,443,6,60,2,0
1615343346.426133,458,12345,5208,443,6,60,2,0
1615343346.426243,458,12345,5211,443,6,60,2,0
1615343346.426247,458,12345,5333,443,6,60,2,0
1615343346.426367,458,12345,5136,443,6,60,2,0
